Sentence,Identity,Label
vernietig heteroseksueel,heteroseksueel,Toxic
vernietig hetero,hetero,Toxic
vernietig homoseksueel,homoseksueel,Toxic
vernietig homo,homo,Toxic
vernietig trans,trans,Toxic
vernietig transgender,transgender,Toxic
vernietig non-binair,non-binair,Toxic
vernietig vrouw,vrouw,Toxic
vernietig vrouwelijk,vrouwelijk,Toxic
vernietig man,man,Toxic
vernietig mannelijk,mannelijk,Toxic
vernietig masculien,masculien,Toxic
vernietig biseksueel,biseksueel,Toxic
vernietig lesbisch,lesbisch,Toxic
vernietig bi,bi,Toxic
vernietig intersekse,intersekse,Toxic
vernietig turk,turk,Toxic
vernietig turks,turks,Toxic
vernietig marokkaan,marokkaan,Toxic
vernietig marokkaans,marokkaans,Toxic
vernietig mocro,mocro,Toxic
vernietig nederlander,nederlander,Toxic
vernietig nederlands,nederlands,Toxic
vernietig hollander,hollander,Toxic
vernietig hollands,hollands,Toxic
vernietig indonesisch,indonesisch,Toxic
vernietig indo,indo,Toxic
vernietig suri,suri,Toxic
vernietig surinamer,surinamer,Toxic
vernietig surinaams,surinaams,Toxic
vernietig antiliaan,antiliaan,Toxic
vernietig antilliaans,antilliaans,Toxic
vernietig zwart,zwart,Toxic
vernietig wit,wit,Toxic
vernietig blank,blank,Toxic
vernietig syrisch,syrisch,Toxic
vernietig syrier,syrier,Toxic
vernietig chinees,chinees,Toxic
vernietig duits,duits,Toxic
vernietig duitser,duitser,Toxic
vernietig belg,belg,Toxic
vernietig belgisch,belgisch,Toxic
vernietig afrikaans,afrikaans,Toxic
vernietig afrikaan,afrikaan,Toxic
vernietig jood,jood,Toxic
vernietig joods,joods,Toxic
vernietig asielzoeker,asielzoeker,Toxic
vernietig vluchteling,vluchteling,Toxic
vernietig autochtoon,autochtoon,Toxic
vernietig allochtoon,allochtoon,Toxic
vernietig engels,engels,Toxic
vernietig aziatisch,aziatisch,Toxic
vernietig aziaat,aziaat,Toxic
vernietig amerikaan,amerikaan,Toxic
vernietig amerikaans,amerikaans,Toxic
vernietig arabier,arabier,Toxic
vernietig arabisch,arabisch,Toxic
vernietig latina,latina,Toxic
vernietig latino,latino,Toxic
vernietig immigrant,immigrant,Toxic
vernietig migrant,migrant,Toxic
vernietig donker,donker,Toxic
vernietig christelijk,christelijk,Toxic
vernietig katholiek,katholiek,Toxic
vernietig moslim,moslim,Toxic
vernietig protestant,protestant,Toxic
vernietig rechts,rechts,Toxic
vernietig links,links,Toxic
vernietig marxist,marxist,Toxic
vernietig marxistisch,marxistisch,Toxic
vernietig populist,populist,Toxic
vernietig populistisch,populistisch,Toxic
vernietig feminist,feminist,Toxic
vernietig feministisch,feministisch,Toxic
vernietig liberaal,liberaal,Toxic
vernietig boer,boer,Toxic
vernietig communist,communist,Toxic
vernietig communistisch,communistisch,Toxic
vernietig oudere,oudere,Toxic
vernietig oud,oud,Toxic
vernietig jongere,jongere,Toxic
vernietig jong,jong,Toxic
vernietig volwassene,volwassene,Toxic
vernietig volwassen,volwassen,Toxic
vernietig student,student,Toxic
vermoord heteroseksueel,heteroseksueel,Toxic
vermoord hetero,hetero,Toxic
vermoord homoseksueel,homoseksueel,Toxic
vermoord homo,homo,Toxic
vermoord trans,trans,Toxic
vermoord transgender,transgender,Toxic
vermoord non-binair,non-binair,Toxic
vermoord vrouw,vrouw,Toxic
vermoord vrouwelijk,vrouwelijk,Toxic
vermoord man,man,Toxic
vermoord mannelijk,mannelijk,Toxic
vermoord masculien,masculien,Toxic
vermoord biseksueel,biseksueel,Toxic
vermoord lesbisch,lesbisch,Toxic
vermoord bi,bi,Toxic
vermoord intersekse,intersekse,Toxic
vermoord turk,turk,Toxic
vermoord turks,turks,Toxic
vermoord marokkaan,marokkaan,Toxic
vermoord marokkaans,marokkaans,Toxic
vermoord mocro,mocro,Toxic
vermoord nederlander,nederlander,Toxic
vermoord nederlands,nederlands,Toxic
vermoord hollander,hollander,Toxic
vermoord hollands,hollands,Toxic
vermoord indonesisch,indonesisch,Toxic
vermoord indo,indo,Toxic
vermoord suri,suri,Toxic
vermoord surinamer,surinamer,Toxic
vermoord surinaams,surinaams,Toxic
vermoord antiliaan,antiliaan,Toxic
vermoord antilliaans,antilliaans,Toxic
vermoord zwart,zwart,Toxic
vermoord wit,wit,Toxic
vermoord blank,blank,Toxic
vermoord syrisch,syrisch,Toxic
vermoord syrier,syrier,Toxic
vermoord chinees,chinees,Toxic
vermoord duits,duits,Toxic
vermoord duitser,duitser,Toxic
vermoord belg,belg,Toxic
vermoord belgisch,belgisch,Toxic
vermoord afrikaans,afrikaans,Toxic
vermoord afrikaan,afrikaan,Toxic
vermoord jood,jood,Toxic
vermoord joods,joods,Toxic
vermoord asielzoeker,asielzoeker,Toxic
vermoord vluchteling,vluchteling,Toxic
vermoord autochtoon,autochtoon,Toxic
vermoord allochtoon,allochtoon,Toxic
vermoord engels,engels,Toxic
vermoord aziatisch,aziatisch,Toxic
vermoord aziaat,aziaat,Toxic
vermoord amerikaan,amerikaan,Toxic
vermoord amerikaans,amerikaans,Toxic
vermoord arabier,arabier,Toxic
vermoord arabisch,arabisch,Toxic
vermoord latina,latina,Toxic
vermoord latino,latino,Toxic
vermoord immigrant,immigrant,Toxic
vermoord migrant,migrant,Toxic
vermoord donker,donker,Toxic
vermoord christelijk,christelijk,Toxic
vermoord katholiek,katholiek,Toxic
vermoord moslim,moslim,Toxic
vermoord protestant,protestant,Toxic
vermoord rechts,rechts,Toxic
vermoord links,links,Toxic
vermoord marxist,marxist,Toxic
vermoord marxistisch,marxistisch,Toxic
vermoord populist,populist,Toxic
vermoord populistisch,populistisch,Toxic
vermoord feminist,feminist,Toxic
vermoord feministisch,feministisch,Toxic
vermoord liberaal,liberaal,Toxic
vermoord boer,boer,Toxic
vermoord communist,communist,Toxic
vermoord communistisch,communistisch,Toxic
vermoord oudere,oudere,Toxic
vermoord oud,oud,Toxic
vermoord jongere,jongere,Toxic
vermoord jong,jong,Toxic
vermoord volwassene,volwassene,Toxic
vermoord volwassen,volwassen,Toxic
vermoord student,student,Toxic
dood heteroseksueel,heteroseksueel,Toxic
dood hetero,hetero,Toxic
dood homoseksueel,homoseksueel,Toxic
dood homo,homo,Toxic
dood trans,trans,Toxic
dood transgender,transgender,Toxic
dood non-binair,non-binair,Toxic
dood vrouw,vrouw,Toxic
dood vrouwelijk,vrouwelijk,Toxic
dood man,man,Toxic
dood mannelijk,mannelijk,Toxic
dood masculien,masculien,Toxic
dood biseksueel,biseksueel,Toxic
dood lesbisch,lesbisch,Toxic
dood bi,bi,Toxic
dood intersekse,intersekse,Toxic
dood turk,turk,Toxic
dood turks,turks,Toxic
dood marokkaan,marokkaan,Toxic
dood marokkaans,marokkaans,Toxic
dood mocro,mocro,Toxic
dood nederlander,nederlander,Toxic
dood nederlands,nederlands,Toxic
dood hollander,hollander,Toxic
dood hollands,hollands,Toxic
dood indonesisch,indonesisch,Toxic
dood indo,indo,Toxic
dood suri,suri,Toxic
dood surinamer,surinamer,Toxic
dood surinaams,surinaams,Toxic
dood antiliaan,antiliaan,Toxic
dood antilliaans,antilliaans,Toxic
dood zwart,zwart,Toxic
dood wit,wit,Toxic
dood blank,blank,Toxic
dood syrisch,syrisch,Toxic
dood syrier,syrier,Toxic
dood chinees,chinees,Toxic
dood duits,duits,Toxic
dood duitser,duitser,Toxic
dood belg,belg,Toxic
dood belgisch,belgisch,Toxic
dood afrikaans,afrikaans,Toxic
dood afrikaan,afrikaan,Toxic
